x_value,total_1,total_2
828,1981,1443
829,1989,1444
830,1984,1442
831,1984,1441
832,1983,1437
833,1989,1434
834,1994,1434
835,1995,1429
836,1991,1435
837,1990,1434
838,1989,1430
839,1983,1431
840,1982,1429
841,1985,1435
842,1979,1437
843,1974,1440
844,1975,1435
845,1973,1430
846,1975,1429
847,1975,1429
848,1978,1429
849,1980,1433
850,1987,1428
851,1991,1433
852,1987,1435
853,1986,1434
854,1984,1436
855,1980,1431
856,1980,1430
857,1978,1430
858,1972,1433
859,1979,1430
860,1980,1425
861,1974,1431
862,1969,1428
863,1974,1428
864,1968,1432
865,1966,1435
866,1971,1441
867,1976,1445
868,1981,1440
869,1984,1438
870,1989,1444
871,1983,1439
872,1981,1442
873,1978,1440
874,1972,1444
875,1971,1441
876,1974,1441
877,1978,1444
878,1985,1441
879,1985,1446
880,1980,1444
881,1982,1445
882,1976,1448
883,1979,1454
884,1977,1459
885,1976,1458
886,1974,1454
887,1971,1455
888,1970,1461
889,1978,1462
890,1976,1463
891,1976,1458
892,1980,1462
893,1976,1468
894,1974,1472
895,1982,1476
896,1978,1474
897,1982,1469
898,1980,1471
899,1984,1477
900,1980,1477
901,1977,1482
902,1978,1485
903,1981,1483
904,1984,1489
905,1987,1492
906,1989,1498
907,1988,1498
908,1994,1503
909,2001,1505
910,2006,1509
911,2005,1504
912,2013,1501
913,2009,1503
914,2013,1505
915,2009,1505
916,2005,1509
917,2000,1514
918,1994,1517
919,1993,1519
920,1990,1520
921,1991,1516
922,1996,1514
923,2004,1513
924,2001,1513
925,1999,1508
926,2007,1503
927,2014,1501
928,2018,1505
929,2017,1503
930,2025,1501
931,2027,1507
932,2028,1503
933,2032,1501
934,2035,1500
935,2037,1496
936,2033,1496
937,2031,1491
938,2038,1489
939,2043,1487
940,2047,1487
941,2047,1490
942,2051,1496
943,2050,1492
944,2050,1493
945,2051,1499
946,2054,1501
947,2048,1498
948,2051,1499
949,2048,1494
950,2051,1498
951,2051,1494
952,2048,1500
953,2050,1495
954,2045,1493
955,2050,1497
956,2050,1502
957,2048,1497
958,2043,1497
959,2037,1496
960,2041,1495
961,2037,1501
962,2044,1496
963,2045,1493
964,2046,1498
965,2043,1496
966,2047,1491
967,2041,1489
968,2044,1491
969,2050,1488
970,2053,1490
971,2051,1486
972,2054,1487
973,2056,1487
974,2051,1485
975,2046,1485
976,2046,1489
977,2040,1491
978,2038,1496
979,2043,1499
980,2045,1501
981,2046,1500
982,2054,1505
983,2059,1511
984,2056,1507
985,2055,1511
986,2063,1507
987,2064,1512
988,2064,1514
989,2060,1513
990,2066,1509
991,2064,1509
992,2064,1510
993,2064,1510
994,2062,1514
995,2057,1509
996,2055,1510
997,2062,1507
998,2070,1503
999,2073,1500
1000,2081,1504
1001,2078,1510
1002,2073,1512
1003,2079,1510
1004,2073,1505
1005,2081,1502
1006,2076,1501
1007,2076,1497
1008,2084,1494
1009,2083,1495
1010,2078,1493
1011,2075,1498
1012,2069,1494
1013,2076,1497
1014,2070,1493
1015,2073,1488
1016,2080,1494
1017,2087,1498
1018,2084,1496
1019,2092,1494
1020,2098,1493
1021,2100,1499
1022,2099,1504
1023,2097,1501
1024,2099,1503
1025,2107,1509
1026,2101,1506
1027,2100,1508
1028,2100,1509
1029,2097,1504
1030,2098,1510
1031,2093,1509
1032,2088,1512
1033,2093,1508
1034,2098,1506
1035,2095,1502
1036,2089,1502
1037,2087,1499
1038,2095,1501
1039,2103,1498
1040,2098,1499
1041,2096,1499
1042,2097,1494
1043,2097,1499
1044,2096,1500
1045,2103,1503
1046,2103,1503
1047,2108,1509
1048,2116,1513
1049,2110,1517
1050,2106,1521
1051,2101,1525
1052,2100,1522
1053,2097,1525
1054,2096,1530
1055,2102,1530
1056,2099,1535
1057,2098,1539
1058,2102,1537
1059,2105,1538
1060,2106,1541
1061,2106,1543
1062,2106,1548
1063,2101,1543
1064,2099,1543
1065,2104,1543
1066,2108,1540
1067,2109,1535
1068,2109,1538
1069,2113,1543
1070,2113,1546
1071,2119,1549
1072,2127,1549
1073,2128,1544
1074,2135,1541
1075,2130,1538
1076,2126,1541
1077,2126,1542
1078,2121,1544
1079,2119,1544
1080,2117,1550
1081,2123,1554
1082,2118,1559
1083,2126,1563
1084,2131,1561
1085,2139,1560
1086,2138,1560
1087,2141,1555
1088,2139,1560
1089,2135,1555
1090,2129,1553
1091,2126,1558
1092,2126,1559
1093,2122,1554
1094,2117,1560
1095,2113,1566
1096,2114,1567
1097,2122,1571
1098,2121,1572
1099,2126,1567
1100,2122,1570
1101,2121,1566
1102,2129,1568
1103,2125,1565
1104,2131,1561
1105,2135,1565
1106,2129,1566
1107,2137,1567
1108,2132,1566
1109,2137,1570
1110,2133,1569
1111,2135,1572
1112,2143,1571
1113,2139,1573
1114,2144,1574
1115,2148,1580
1116,2147,1578
1117,2147,1578
1118,2148,1583
1119,2156,1581
1120,2155,1584
1121,2149,1589
1122,2155,1587
1123,2159,1590
1124,2158,1590
1125,2157,1589
1126,2153,1588
1127,2152,1591
1128,2146,1586
1129,2152,1584
1130,2154,1585
1131,2148,1587
1132,2153,1584
1133,2158,1585
1134,2156,1588
1135,2154,1590
1136,2159,1585
1137,2161,1581
1138,2161,1576
1139,2157,1574
1140,2153,1580
1141,2151,1579
1142,2158,1580
1143,2165,1580
1144,2163,1577
1145,2168,1577
1146,2170,1575
1147,2167,1572
1148,2167,1577
1149,2171,1581
1150,2171,1577
1151,2178,1577
1152,2174,1578
1153,2178,1578
1154,2178,1577
1155,2184,1582
1156,2181,1587
1157,2188,1583
1158,2182,1582
1159,2181,1579
1160,2180,1577
1161,2187,1583
1162,2182,1581
1163,2190,1579
1164,2191,1584
1165,2192,1583
1166,2196,1578
1167,2199,1582
1168,2204,1583
1169,2211,1585
1170,2218,1585
1171,2217,1589
1172,2219,1585
1173,2218,1585
1174,2213,1585
1175,2220,1588
1176,2218,1587
1177,2223,1588
1178,2221,1591
1179,2223,1597
1180,2228,1594
1181,2224,1593
1182,2225,1594
1183,2227,1597
1184,2235,1593
1185,2229,1593
1186,2236,1590
1187,2242,1588
1188,2249,1585
1189,2249,1585
1190,2243,1583
1191,2239,1588
1192,2241,1593
1193,2246,1590
1194,2254,1588
1195,2249,1588
1196,2254,1590
1197,2261,1589
1198,2269,1595
1199,2265,1593
1200,2269,1592
1201,2277,1596
1202,2275,1601
1203,2282,1597
1204,2288,1597
1205,2295,1596
1206,2303,1601
1207,2311,1600
1208,2318,1599
1209,2323,1604
1210,2324,1602
1211,2331,1603
1212,2329,1607
1213,2334,1609
1214,2336,1610
1215,2339,1609
1216,2347,1611
1217,2349,1610
1218,2348,1607
1219,2356,1610
1220,2361,1613
1221,2369,1614
1222,2377,1617
1223,2372,1612
1224,2377,1618
1225,2381,1613
1226,2388,1615
1227,2390,1614
1228,2394,1612
1229,2401,1612
1230,2403,1614
1231,2406,1613
1232,2413,1608
1233,2419,1613
1234,2415,1616
1235,2420,1615
1236,2416,1613
1237,2414,1616
1238,2416,1615
1239,2422,1613
1240,2429,1609
1241,2437,1609
1242,2440,1606
1243,2444,1609
1244,2444,1611
1245,2447,1608
1246,2446,1609
1247,2453,1613
1248,2456,1611
1249,2454,1606
1250,2460,1604
1251,2463,1603
1252,2464,1598
1253,2462,1603
1254,2457,1598
1255,2464,1602
1256,2469,1602
1257,2476,1606
1258,2480,1602
1259,2483,1601
1260,2479,1605
1261,2483,1608
1262,2480,1606
1263,2479,1611
1264,2478,1607
1265,2480,1612
1266,2486,1607
1267,2483,1609
1268,2480,1615
1269,2482,1621
1270,2487,1623
1271,2484,1620
1272,2482,1624
1273,2479,1629
1274,2486,1635
1275,2489,1632
1276,2492,1637
1277,2498,1642
1278,2502,1645
1279,2503,1640
1280,2506,1644
1281,2509,1649
1282,2511,1647
1283,2508,1651
1284,2515,1651
1285,2518,1646
1286,2518,1645
1287,2516,1648
1288,2514,1648
1289,2522,1643
1290,2529,1641
1291,2528,1644
1292,2524,1640
1293,2520,1645
1294,2524,1643
1295,2532,1638
1296,2533,1644
1297,2530,1647
1298,2536,1653
1299,2539,1652
1300,2537,1656
1301,2539,1662
1302,2542,1661
1303,2547,1666
1304,2551,1662
1305,2558,1665
1306,2556,1668
1307,2559,1667
1308,2555,1672
1309,2556,1671
1310,2551,1672
1311,2556,1668
1312,2556,1673
1313,2555,1674
1314,2562,1674
1315,2561,1679
1316,2564,1677
1317,2571,1683
1318,2565,1682
1319,2570,1682
1320,2565,1681
1321,2560,1687
1322,2562,1686
1323,2566,1681
1324,2560,1686
1325,2557,1683
1326,2551,1678
1327,2558,1676
1328,2557,1673
1329,2565,1674
1330,2568,1680
1331,2574,1677
1332,2582,1683
1333,2584,1680
1334,2589,1679
1335,2593,1685
1336,2593,1685
1337,2593,1691
1338,2600,1687
1339,2605,1689
1340,2607,1687
1341,2614,1687
1342,2611,1685
1343,2611,1686
1344,2609,1686
1345,2610,1683
1346,2616,1687
1347,2622,1685
1348,2624,1682
1349,2628,1677
1350,2633,1673
1351,2640,1679
1352,2640,1681
1353,2643,1683
1354,2650,1682
1355,2658,1680
1356,2654,1684
1357,2652,1688
1358,2659,1690
1359,2657,1690
1360,2665,1689
1361,2660,1693
1362,2654,1698
1363,2660,1699
1364,2658,1702
1365,2662,1702
1366,2662,1707
1367,2670,1712
1368,2676,1711
1369,2676,1716
1370,2673,1712
1371,2672,1717
1372,2671,1712
1373,2668,1714
1374,2672,1717
1375,2676,1718
1376,2675,1718
1377,2683,1717
1378,2686,1717
1379,2688,1716
1380,2683,1712
1381,2688,1710
1382,2685,1713
1383,2685,1717
1384,2684,1718
1385,2686,1722
1386,2682,1724
1387,2680,1728
1388,2681,1732
1389,2683,1729
1390,2684,1734
1391,2689,1730
1392,2689,1731
1393,2690,1734
1394,2696,1730
1395,2694,1728
1396,2696,1731
1397,2700,1727
1398,2704,1724
1399,2701,1729
1400,2707,1728
1401,2714,1727
1402,2721,1727
1403,2727,1732
1404,2724,1729
1405,2723,1728
1406,2731,1729
1407,2731,1732
1408,2731,1728
1409,2738,1726
1410,2732,1730
1411,2738,1736
1412,2742,1734
1413,2745,1735
1414,2745,1739
1415,2752,1736
1416,2756,1733
1417,2762,1738
1418,2766,1734
1419,2764,1730
1420,2763,1732
1421,2760,1734
1422,2756,1732
1423,2755,1737
1424,2750,1732
1425,2754,1728
1426,2750,1724
1427,2745,1729
1428,2746,1728
1429,2753,1731
1430,2761,1735
1431,2755,1738
1432,2761,1733
1433,2756,1733
1434,2760,1737
1435,2766,1735
1436,2769,1731
1437,2764,1731
1438,2763,1737
1439,2769,1741
1440,2771,1744
1441,2776,1742
1442,2784,1739
1443,2790,1743
1444,2791,1742
1445,2799,1745
1446,2800,1745
1447,2807,1745
1448,2804,1740
1449,2810,1743
1450,2815,1745
1451,2823,1742
1452,2819,1738
1453,2818,1741
1454,2823,1743
1455,2831,1738
1456,2839,1742
1457,2843,1747
1458,2843,1744
1459,2843,1743
1460,2849,1739
1461,2854,1735
1462,2849,1735
1463,2854,1735
1464,2862,1739
1465,2856,1735
1466,2860,1734
1467,2860,1733
1468,2854,1733
1469,2857,1734
1470,2854,1734
1471,2848,1733
1472,2850,1739
1473,2851,1740
1474,2849,1741
1475,2849,1741
1476,2855,1739
1477,2850,1735
1478,2851,1735
1479,2858,1732
1480,2855,1736
1481,2851,1742
1482,2854,1746
1483,2860,1743
1484,2868,1747
1485,2863,1751
1486,2860,1755
1487,2854,1755
1488,2849,1753
1489,2852,1757
1490,2855,1759
1491,2855,1754
1492,2861,1760
1493,2865,1765
1494,2872,1770
1495,2876,1776
1496,2881,1775
1497,2885,1781
1498,2892,1780
1499,2887,1775
1500,2885,1770
1501,2879,1765
1502,2874,1769
1503,2877,1766
1504,2874,1764
1505,2876,1770
1506,2884,1771
1507,2879,1776
1508,2873,1775
1509,2867,1781
1510,2874,1777
1511,2876,1781
1512,2875,1781
1513,2882,1784
1514,2877,1780
1515,2872,1783
1516,2870,1778
1517,2866,1775
1518,2870,1777
1519,2870,1779
1520,2877,1778
1521,2885,1774
1522,2879,1769
1523,2881,1769
1524,2883,1770
1525,2884,1773
1526,2882,1775
1527,2885,1772
1528,2886,1775
1529,2889,1772
1530,2888,1768
1531,2892,1765
1532,2887,1762
1533,2892,1764
1534,2895,1761
1535,2890,1762
1536,2898,1766
1537,2896,1765
1538,2904,1765
1539,2906,1760
1540,2914,1765
1541,2915,1766
1542,2920,1770
1543,2927,1771
1544,2925,1767
1545,2923,1770
1546,2925,1765
1547,2930,1762
1548,2928,1758
1549,2926,1759
1550,2933,1756
1551,2930,1756
1552,2932,1760
1553,2926,1766
1554,2934,1767
1555,2939,1766
1556,2938,1765
1557,2946,1764
1558,2950,1760
1559,2950,1763
1560,2956,1758
1561,2959,1760
1562,2956,1764
1563,2953,1761
1564,2949,1756
1565,2946,1755
1566,2949,1757
1567,2950,1758
1568,2953,1756
1569,2961,1762
1570,2963,1760
1571,2960,1762
1572,2958,1757
1573,2954,1758
1574,2958,1762
1575,2965,1766
1576,2968,1768
1577,2971,1770
1578,2979,1765
1579,2983,1769
1580,2986,1767
1581,2982,1767
1582,2983,1772
1583,2981,1777
1584,2976,1773
1585,2982,1774
1586,2987,1778
1587,2994,1779
1588,3001,1784
1589,3001,1781
1590,3006,1780
1591,3005,1786
1592,3013,1791
1593,3017,1797
1594,3017,1796
1595,3019,1798
1596,3021,1796
1597,3028,1798
1598,3034,1800
1599,3042,1801
1600,3037,1797
1601,3036,1801
1602,3038,1797
1603,3032,1792
1604,3036,1795
1605,3033,1797
1606,3033,1801
1607,3040,1798
1608,3037,1802
1609,3034,1806
1610,3040,1804
1611,3040,1799
1612,3048,1798
1613,3054,1794
1614,3055,1789
1615,3059,1788
1616,3066,1794
1617,3072,1797
1618,3073,1799
1619,3080,1799
1620,3088,1804
1621,3083,1807
1622,3085,1807
1623,3088,1803
1624,3085,1807
1625,3083,1806
1626,3086,1802
1627,3086,1805
1628,3093,1800
1629,3100,1803
1630,3103,1807
1631,3110,1805
1632,3111,1801
1633,3117,1796
1634,3125,1795
1635,3125,1792
1636,3119,1797
1637,3121,1798
1638,3117,1796
1639,3112,1795
1640,3106,1800
1641,3114,1796
1642,3118,1798
1643,3118,1793
1644,3119,1788
1645,3116,1783
1646,3113,1789
1647,3111,1788
1648,3110,1783
1649,3118,1788
1650,3122,1789
1651,3118,1792
1652,3114,1795
1653,3116,1790
1654,3119,1789
1655,3115,1786
1656,3120,1789
1657,3126,1795
1658,3127,1801
1659,3125,1797
1660,3131,1795
1661,3137,1796
1662,3139,1800
1663,3141,1800
1664,3138,1805
